index	isL5IT
SM-DAIG6_S25	1
SM-DAIG4_S50	0
SM-DAIHG_S73	1
SM-GE666_S077	0
SM-DAIG5_S65	0
SM-DD44O_S10	1
LS-15510_S36	0
SM-D9D8I_S53	0
SM-D9D8D_S07	0
SM-DAIG7_S74	1
SM-GE65R_S164	0
LS-15510_S24	0
SM-DAIG9_S72	1
LS-15524_S62	1
SM-GE63K_S081	0
SM-GE668_S001	0
SM-DAIFS_S24	0
SM-DAIFI_S08	0
SM-DAIG6_S52	0
SM-DAIFT_S11	1
SM-D9E5T_S21	0
SM-DAIG6_S37	0
SM-DD44P_S54	0
SM-GE66H_S153	0
SM-D9D7B_S11	1
SM-DD44B_S61	1
SM-D9D8J_S02	0
SM-DD43R_S57	1
SM-D9D8P_S49	0
SM-D9E5E_S47	0
LS-15398_S32	0
SM-D9D8Q_S15	0
SM-DD43L_S47	1
SM-D9E4M_S26	0
SM-D9D6R_S39	0
SM-D9E5S_S03	1
SM-D9CZT_S05	1
SM-DD43Q_S78	0
SM-D9E5T_S57	0
SM-D9E5W_S28	0
LS-15520_S42	0
SM-D9D7G_S02	1
SM-DAIFB_S29	0
SM-DAIFW_S88	0
LS-15510_S31	0
SM-D9D7W_S84	0
SM-D9D8I_S40	0
SM-DAIG4_S21	1
SM-D9D7X_S86	0
SM-DAIGX_S01	0
SM-D9D7V_S33	0
SM-D9D7V_S16	1
SM-DAIFV_S61	0
SM-DAIGK_S72	1
SM-DAIFT_S26	0
SM-DAIGQ_S33	1
SM-DD44O_S04	1
SM-GE666_S065	0
SM-DAIG4_S92	0
SM-DAIFU_S39	0
SM-DAIGK_S37	0
SM-DAIFW_S53	1
SM-D9E5S_S75	1
SM-D9D8I_S52	0
SM-DAIHG_S68	1
SM-GE659_S012	0
SM-D9E5S_S05	0
SM-DD43R_S46	1
SM-DAIFU_S15	0
SM-DAIFT_S21	0
SM-GE63U_S027	0
SM-D9D8I_S51	1
SM-D9D7Y_S33	0
SM-DAIGW_S07	0
SM-D9D8H_S25	0
SM-DAIHC_S52	1
SM-DAIH6_S50	0
LS-15524_S58	1
SM-DAIHG_S89	1
SM-DAIG9_S21	0
SM-D9D8J_S03	0
LS-15396_S88	0
SM-D9EQH_S62	0
LS-15510_S35	0
SM-D9E5W_S19	0
SM-D9E5X_S53	0
SM-D9E66_S05	0
LS-15522_S50	1
SM-D9EQM_S81	1
SM-DAIG7_S38	0
SM-D9D8C_S82	0
SM-D9ER5_S12	1
SM-D9D7W_S52	0
SM-D9E5U_S14	0
SM-D9D7X_S45	0
SM-D9E5U_S01	1
SM-D9EQJ_S47	0
SM-D9D8G_S05	0
SM-D9E5R_S72	0
SM-D9D8G_S47	0
SM-DD43Q_S63	1
SM-D9E67_S56	0
SM-D9E66_S76	0
SM-DAIGR_S39	1
SM-D9EQT_S36	0
SM-D9D85_S39	0
SM-DAIGA_S72	0
SM-DAIGR_S48	0
SM-DAIGA_S04	1
SM-DAIGA_S56	0
SM-GE63U_S102	0
SM-DD43R_S30	1
SM-D9D85_S02	0
SM-D9D8Q_S21	0
SM-D9D7W_S05	0
SM-D9E5N_S32	1
SM-D9E5E_S02	1
LS-15524_S73	1
SM-DAIHC_S57	1
SM-DD44P_S53	0
SM-D9D7V_S10	0
SM-DAIGX_S27	1
SM-DAIH5_S49	0
SM-DAIFU_S05	0
SM-DAIFV_S51	0
SM-D9E5S_S90	0
SM-GE66H_S161	0
SM-DAIG8_S20	0
SM-D9E67_S48	0
SM-DAIG7_S54	1
LS-15520_S03	1
SM-GE659_S014	0
SM-DAIG5_S69	0
SM-DD43S_S66	1
SM-D9D7Y_S08	1
SM-D9EQU_S94	1
SM-DAIGL_S09	0
LS-15521_S43	0
SM-D9D85_S38	0
SM-D9EQJ_S03	0
SM-DAIG4_S47	0
LS-15526_S67	1
LS-15510_S30	0
SM-D9E5T_S42	0
SM-D9EQI_S27	0
SM-D9E5W_S18	0
SM-DD443_S42	1
SM-D9E5X_S35	0
SM-DAIHE_S53	1
SM-DAIGL_S33	0
SM-DAIFC_S15	0
SM-D9EQU_S81	1
SM-D9EQI_S28	0
SM-DAIG4_S33	0
SM-DAIG4_S91	0
SM-DAIG9_S62	1
LS-15522_S03	1
SM-GE65I_S118	0
SM-GE65I_S113	0
SM-DAIGA_S06	1
LS-15520_S09	1
SM-D9EQM_S67	0
LS-15526_S95	1
SM-DAIG7_S48	0
